Date,4GLD.DE,ADS.DE,ALV.DE,BAS.DE,BMW.DE,DBK.DE,EXHA.DE,MUV2.DE,SAP.DE,SIE.DE
2021-07-13,49.36000061035156,304.4789123535156,166.2454833984375,49.985652923583984,63.73912048339844,8.98331356048584,133.91006469726562,189.35702514648438,117.18898010253906,118.38240814208984
2021-07-14,49.5620002746582,305.9008483886719,165.4620819091797,50.0003776550293,63.977657318115234,9.00061321258545,133.9729766845703,189.0699462890625,116.94956970214844,117.38050842285156
2021-07-15,49.672000885009766,299.40740966796875,165.30538940429688,49.61756896972656,63.08857727050781,9.004072189331055,134.01654052734375,187.9215850830078,115.47618865966797,114.46268463134766
2021-07-16,49.33000183105469,295.6630554199219,163.69932556152344,49.33046340942383,61.801937103271484,8.818974494934082,134.11334228515625,187.101318359375,115.53142547607422,113.72444915771484
2021-07-19,49.24800109863281,289.548828125,157.54934692382812,47.51213455200195,59.59008026123047,8.54565143585205,134.253662109375,177.83238220214844,113.04510498046875,110.806640625
2021-07-20,49.4119987487793,289.50146484375,159.3120880126953,48.14523696899414,59.99485778808594,8.709990501403809,134.4278564453125,180.8263397216797,111.86640167236328,111.65033721923828
2021-07-21,49.20199966430664,292.4400634765625,162.6417236328125,48.947654724121094,60.818885803222656,9.081917762756348,134.36500549316406,187.060302734375,109.08538818359375,114.51542663574219
2021-07-22,49.35599899291992,296.042236328125,163.6210174560547,48.97710418701172,60.544212341308594,9.01445198059082,134.46658325195312,186.1170196533203,109.5826644897461,117.76720428466797
2021-07-23,49.236000061035156,301.25592041015625,164.91368103027344,49.337825775146484,61.838077545166016,9.137273788452148,134.4908447265625,188.3317108154297,108.4776382446289,118.25936889648438
2021-07-26,49.0099983215332,295.7578430175781,165.42288208007812,49.66173553466797,61.81638717651367,9.218579292297363,134.49569702148438,187.67550659179688,108.29345703125,118.1363296508789
2021-07-27,48.992000579833984,292.86663818359375,164.6786346435547,49.381996154785156,60.630950927734375,9.185710906982422,134.61181640625,188.04461669921875,109.41690826416016,117.08169555664062
2021-07-28,49.04999923706055,293.38800048828125,164.75697326660156,48.888771057128906,60.5731201171875,9.081917762756348,134.66989135742188,187.51144409179688,111.40596008300781,117.0992660522461
2021-07-29,49.529998779296875,292.5348815917969,165.69711303710938,49.146427154541016,61.491119384765625,9.356969833374023,134.6602020263672,188.49575805664062,111.663818359375,117.04652404785156
2021-07-30,49.417999267578125,290.1650390625,164.52194213867188,48.748897552490234,60.630950927734375,9.218579292297363,134.75216674804688,186.93727111816406,111.27704620361328,115.64036560058594
2021-08-02,49.15800094604492,301.1611328125,151.7519073486328,48.64583206176758,61.36824417114258,9.09748649597168,134.8102264404297,187.34739685058594,111.70064544677734,118.73395538330078
2021-08-03,49.10200119018555,305.9482421875,150.52975463867188,49.087528228759766,58.202239990234375,9.057699203491211,134.79086303710938,184.55850219726562,112.25315856933594,118.52303314208984
2021-08-04,49.12799835205078,318.74542236328125,149.2449188232422,49.006553649902344,58.90338897705078,9.081917762756348,134.86831665039062,186.6091766357422,113.61603546142578,121.10686492919922
2021-08-05,48.99399948120117,299.5496520996094,151.1094970703125,49.381996154785156,58.69376754760742,9.196089744567871,134.82957458496094,190.17730712890625,115.82610321044922,124.25318908691406
2021-08-06,48.1619987487793,294.38330078125,154.90133666992188,49.381996154785156,59.358768463134766,9.327561378479004,134.67469787597656,192.2689666748047,114.96049499511719,123.30403137207031
2021-08-09,47.33399963378906,296.7532043457031,156.37420654296875,49.499778747558594,59.06241226196289,9.431355476379395,134.5779266357422,194.15554809570312,114.81316375732422,121.82754516601562
2021-08-10,47.4119987487793,292.7718505859375,157.70603942871094,49.67646408081055,59.163604736328125,9.42443561553955,134.6069793701172,196.9034423828125,114.40797424316406,122.33726501464844
2021-08-11,47.9379997253418,291.1129455566406,158.01942443847656,50.06663131713867,59.481651306152344,9.483251571655273,134.58277893066406,201.3738555908203,113.96597290039062,124.499267578125
2021-08-12,47.96799850463867,295.7578430175781,158.01942443847656,50.611392974853516,60.25508499145508,9.415785789489746,134.635986328125,204.53184509277344,115.93661499023438,125.32540893554688
2021-08-13,48.444000244140625,302.6778259277344,157.98023986816406,50.91322708129883,60.05991744995117,9.491900444030762,134.55859375,206.9105987548828,115.54985046386719,124.90353393554688
2021-08-16,48.73400115966797,297.416748046875,157.62770080566406,50.25067138671875,58.88894271850586,9.343131065368652,134.56887817382812,207.27972412109375,115.71560668945312,124.552001953125
2021-08-17,48.91600036621094,295.47344970703125,155.6691131591797,49.882591247558594,58.0793571472168,9.242796897888184,134.57373046875,208.92022705078125,117.04164123535156,125.32540893554688
2021-08-18,48.95600128173828,291.0181579589844,156.43685913085938,50.07398986816406,57.71794891357422,9.329292297363281,134.68521118164062,209.74050903320312,116.87588500976562,125.29022979736328
2021-08-19,49.02799987792969,287.5581970214844,155.13636779785156,48.23357391357422,55.96869659423828,9.073267936706543,134.66580200195312,209.1253204345703,115.80770111083984,121.89784240722656
